 ispLEVER Classic 2.0.00.17.20.15 Fitter Report File 
Project Name,cpld
Project Path,C:\Users\pcadmin\Documents\CPLD
Project Fitted on,Thu Feb 09 15:58:02 2017

Pin,Pin_Type,Bank,GLB_Pad,Assigned,I/O_Type,Signal_Type,Signal_Name,PG
120,I_O,1,P12,,,,,
121,I_O,1,P10,,,,,
122,I_O,1,P8,,,,,
123,I_O,1,P6,,,,,
124,I_O,1,P4,,,,,
125,I_O/OE,1,P2,,,,,
126,INCLK3,1,,,,,,
127,GNDIO0,-,,,,,,
128,INCLK0,0,,,,,,
129,VCC,-,,,,,,
130,I_O/OE,0,A2,,,,,
131,I_O,0,A4,,,,,
132,I_O,0,A6,,,,,
133,I_O,0,A8,,,,,
134,I_O,0,A10,,,,,
135,I_O,0,A12,,,,,
136,VCCIO0,-,,,,,,
137,GNDIO0,-,,,,,,
138,I_O,0,B2,,,,,
139,I_O,0,B4,,,,,
140,I_O,0,B6,,,,,
141,I_O,0,B8,,,,,
142,I_O,0,B10,,,,,
143,I_O,0,B12,,,,,
144,IN9,0,,,,,,
